GO,Aeropyrum_pernix.CDS.fa.OUTPUT.daa.m8,Aquifex_aeolicus.CDS.fa.OUTPUT.daa.m8,Archaeoglobus_fulgidus.CDS.fa.OUTPUT.daa.m8,Hyperthermus_butyilicus.CDS.fa.OUTPUT.daa.m8,Methanococcus_jannaschii.CDS.fa.OUTPUT.daa.m8,Methanopyrus_kandleri.CDS.fa.OUTPUT.daa.m8,Methanothermus_fervidus.CDS.fa.OUTPUT.daa.m8,Pyrococcus_feriosus.CDS.fa.OUTPUT.daa.m8,Pyrodicitium_abyssi.CDS.fa.OUTPUT.daa.m8,Pyrolobus_fumarii.CDS.fa.OUTPUT.daa.m8,Sulfolobus_acidocaldarius.CDS.fa.OUTPUT.daa.m8,Thermocrinis_minervae.CDS.fa.OUTPUT.daa.m8,Thermocrinis_ruber.CDS.fa.OUTPUT.daa.m8,Thermotoga_maritima.CDS.fa.OUTPUT.daa.m8
,510,275,699,550,409,516,242,550,468,688,723,1072,375,380
 glycerol-3-phosphate dehydrogenase [NADP+] activity [GO:0036439],0,1,1,0,0,0,0,0,0,0,0,0,1,2
 sodium ion transmembrane transport [GO:0035725],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 sulfate assimilation [GO:0000103],2,0,2,2,0,0,0,0,2,2,1,0,1,0
 UDP-3-O-acyl-N-acetylglucosamine deacetylase activity [GO:0103117],0,1,0,0,0,0,0,0,0,0,0,0,1,0
cellular metabolic process [GO:0044237],2,0,0,0,0,0,0,0,0,1,0,0,0,0
 UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity [GO:0008759],0,1,0,0,0,0,0,0,0,0,0,0,1,0
 putrescine-importing ATPase activity [GO:0015594],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 carbohydrate kinase activity [GO:0019200],0,1,0,0,1,0,0,0,0,0,0,0,0,2
 beta-glucosidase activity [GO:0008422],0,0,0,0,0,0,0,0,0,0,0,0,0,2
 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity [GO:0046429],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 glycogen catabolic process [GO:0005980],0,0,0,0,0,0,0,0,0,0,2,0,0,0
thiamine biosynthetic process [GO:0009228],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 nucleic acid binding [GO:0003676],14,11,14,10,15,15,11,24,20,18,21,0,16,16
chromosome [GO:0005694],3,3,9,3,7,3,5,6,6,3,2,0,3,3
 ATPase-coupled phosphate ion transmembrane transporter activity [GO:0015415],1,1,1,1,1,1,1,1,1,1,0,0,1,1
 mercury (II) reductase activity [GO:0016152],1,0,0,0,0,0,0,0,0,0,1,0,0,0
 oxidized base lesion DNA N-glycosylase activity [GO:0000702],1,0,0,0,0,1,0,1,1,0,0,0,0,0
